datetime,ax,ay,az
2026/4/18 19:52:32.1406,0.635700,0.058500,0.834600
2026/4/18 19:52:32.1506,0.631800,0.062400,0.834600
2026/4/18 19:52:32.1606,0.635700,0.054600,0.834600
2026/4/18 19:52:32.1706,0.639600,0.058500,0.838500
2026/4/18 19:52:32.1806,0.639600,0.062400,0.838500
2026/4/18 19:52:32.1906,0.635700,0.058500,0.830700
2026/4/18 19:52:32.2006,0.635700,0.058500,0.834600
2026/4/18 19:52:32.2106,0.635700,0.066300,0.834600
2026/4/18 19:52:32.2206,0.631800,0.062400,0.838500
2026/4/18 19:52:32.2306,0.635700,0.058500,0.834600
2026/4/18 19:52:32.2406,0.631800,0.058500,0.830700
2026/4/18 19:52:32.2506,0.635700,0.058500,0.830700
2026/4/18 19:52:32.2606,0.631800,0.058500,0.838500
2026/4/18 19:52:32.2706,0.635700,0.058500,0.834600
2026/4/18 19:52:32.2806,0.639600,0.058500,0.834600
2026/4/18 19:52:32.2906,0.631800,0.062400,0.830700
2026/4/18 19:52:32.3006,0.635700,0.058500,0.830700
2026/4/18 19:52:32.4226,0.635700,0.062400,0.830700
2026/4/18 19:52:32.4326,0.635700,0.066300,0.834600
2026/4/18 19:52:32.4426,0.639600,0.058500,0.830700
2026/4/18 19:52:32.4526,0.635700,0.058500,0.834600
2026/4/18 19:52:32.4626,0.639600,0.054600,0.834600
2026/4/18 19:52:32.4726,0.635700,0.054600,0.842400
2026/4/18 19:52:32.4826,0.635700,0.054600,0.830700
2026/4/18 19:52:32.4926,0.631800,0.062400,0.842400
2026/4/18 19:52:32.5026,0.631800,0.062400,0.834600
2026/4/18 19:52:32.5126,0.635700,0.058500,0.834600
2026/4/18 19:52:32.5226,0.639600,0.062400,0.830700
2026/4/18 19:52:32.5326,0.635700,0.062400,0.834600
2026/4/18 19:52:32.5426,0.631800,0.062400,0.838500
2026/4/18 19:52:32.5526,0.639600,0.054600,0.830700
2026/4/18 19:52:32.5626,0.643500,0.054600,0.838500
2026/4/18 19:52:32.5726,0.631800,0.062400,0.842400
2026/4/18 19:52:32.5826,0.635700,0.058500,0.826800
2026/4/18 19:52:32.5926,0.635700,0.062400,0.834600
